feature,coef
ema20,-0.305548049576629
ret1,-0.29279530204665516
ema5,0.18939403825973872
ret6,0.1459568780376488
rsi14,-0.07128474195452798
range,-0.04193190349717598
vol5,-0.036736509413340106
ret3,-0.00873206456262832
